pnames,NIS_f1,NIS_f2,NIS_f3,NI_f1,NI_f2,NI_f3,IS_f1,IS_f2,IS_f3,NS_f1,NS_f2,NS_f3,N_f1,N_f2,N_f3,S_f1,S_f2,S_f3,I_f1,I_f2,I_f3,noInt_f1,noInt_f2,noInt_f3
β_MFe_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6636111137755586,5.899544182096389,0.8724735493283079
β_MFe_2_G0,2.1741903013178083,0.04794076751245852,1.3461072330495607,1.3784868840227689,0.1892443096826577,0.9025704729120675,3.1215029212009613,2.5552501305204585,3.5652688010973295,1.878223219751229,0.6130211362016894,0.7533065863435078,0.4821354511250228,0.2165003810609184,0.4663563625739816,4.317829945712242,3.3805561230997947,2.4787379367287423,4.760144861598548,2.6132314623029123,2.3952750665735407,0.6552220699076869,4.89160635924569,1.0237054967185377
β_MFe_2_G1,2.182000611644895,2.0682199516157125,1.2065333250562702,2.3847691747655375,1.697644446428473,1.2395660783355267,2.6042336700900526,1.715894257014407,2.0156209319624896,1.7731300790234117,1.265602341973794,1.0013581554385613,1.7666836081150517,2.225399492092341,0.9926834037347163,2.49052991187629,1.5403620694680933,1.467366622335562,2.796663702594956,1.1967064956831077,1.4700131091177795,0.7368279824783402,5.450227807115476,0.9984239795822971
β_MFe_2_G2,1.6237387696998151,0.20727095670805062,1.0715514383498628,2.066147860567776,1.742700367277494,1.137494144853234,2.2812365345281385,1.602430179920086,1.7365034641825297,1.410337274206056,1.3133921203607644,1.0971958845017535,1.009817881221754,3.0584826146693738,0.17739365805633822,2.104795679842534,1.4927638565908532,1.2952773368546144,2.4830237580364294,1.1192837291378082,1.0976256774549102,0.753030481876413,5.807890015920949,0.7813259267835606
β_MFi_1,0.22210333421113732,0.31873341356759477,0.20964154211847508,3.0686640851786455,0.3012082874820823,0.2939011936637324,3.454222369600054,2.1009874239522133,2.1060716699292494,0.21889735751086026,0.29091976595597374,0.26393982250176623,0.27323081991304327,1.4168764642682357,0.3009679630461794,0.5989339534181011,0.2834857174915732,0.18202999462172811,6.096608230124021,2.2169653347747893,2.48978101628715,0.0,0.0,0.0
β_MFi_2_G0,0.18556246268218124,0.21233422598233742,0.160961577265373,2.7201181452799865,0.20201841226864237,0.23311530135131747,3.146437327513235,1.6136826613228197,1.9007648256658563,0.18374577842709366,0.1935997060172057,0.20864636632869468,0.23113997721218954,0.8479622376097782,0.2422271277694531,0.5178620181124082,0.20361356740353934,0.15017891480866455,5.269855732387476,1.551212238546514,2.077440689485833,0.0,0.0,0.0
β_MFi_2_G1,0.19148531137100427,0.251068872824987,0.18459317666167716,2.793804126016479,0.22161134025422843,0.2618066892489343,3.2740700981564452,1.4969166494747872,1.9271160723668657,0.19088631674374548,0.21165796313412352,0.23450267130946909,0.24183329370982168,0.897583828833932,0.2906724202574445,0.5562850761687336,0.21852838111599887,0.1664778701091345,5.511587157355793,1.5729193868722355,2.1623776602886458,0.0,0.0,0.0
β_MFi_2_G2,0.23472614679438514,0.32664634753417404,0.1557067244504367,2.5622639119231154,0.26239707261631845,0.21325881012957032,3.299268971493627,1.6430988002778657,1.5929981049876163,0.23441340169057395,0.24480664537685812,0.18557712756819336,0.28738936146180066,1.0642142313318819,0.30637840313233633,0.632363693363212,0.23284770267834418,0.1348100673410183,5.1865425748978975,1.7077263120352715,1.7637219230078076,0.0,0.0,0.0
Q_bias_1,0.05841114288654369,0.10933885563880706,0.12552929566910054,0.06916668150158324,0.1074764655084513,0.12153608361458394,0.07516037727952792,0.11250262760122502,0.12378443943816549,0.06001722287604102,0.11092776213040381,0.12248933761221309,0.05130412904658214,0.11085689850633262,0.1229701975739916,0.07881697051775721,0.12662118475667083,0.13758644298994008,0.056268694991032375,0.12149737922276267,0.12551741540244282,0.07740444570854689,0.12187043001298711,0.13798858041752501
Q_bias_2,-0.3168789319612286,-0.40708558671661843,-0.29165827651348636,-0.2769520712647897,-0.39647432098010843,-0.27076296504650277,-0.33248926086779007,-0.4348044255267032,-0.32179699373485543,-0.3119200324325565,-0.405328729164051,-0.26531694656500077,-0.281881742423535,-0.3922222884726685,-0.27244536394486013,-0.3749381721916021,-0.45850382387562094,-0.34921972245470373,-0.3131427075027666,-0.4413652386903306,-0.2933863655410284,-0.3276892981712499,-0.4437655897149284,-0.32835796540752765
r1,1.8257228095366642,3.4480003537187844,1.4472474707760423,1.648010889288359,3.192915252085658,1.7144159168080855,2.840926907276767,4.086868121581746,2.4727955578529137,2.074222878352018,3.9811647609577507,1.7869708057236866,1.7833560368597619,2.2050656255508216,2.3661999736486545,2.7318610680323454,4.759894850621294,2.451199053687528,2.8796089053960943,5.401702311878806,2.194135906741362,2.8270955815594325,2.24044622955728,1.4245380082339296
r2,10.588341014937335,3.030836225186318,4.138379033199161,10.1423372978728,4.272937948828661,4.77661738241138,9.916199590054786,4.4419151657800695,4.184550533984886,11.846578555029604,4.686412041878066,4.249327255294466,16.082842094221203,2.105169370215745,3.2728164945100953,9.483891338012917,4.958908350926959,5.0130620489759155,11.63179622120253,5.927256647693158,6.019654869227861,14.148764107190669,2.205065666997681,15.112697231429241
wN,1.0730678706770018,1.0931579633103339,0.9613536199838222,0.19252704430272097,1.2136062270509382,1.2596473470629308,0.0,0.0,0.0,1.073968395135738,0.8739004570664585,1.2881636517421688,1.4150239249612608,0.3143138697566348,1.1523979893631697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wI,0.035678779389229545,0.0029966274138228653,0.03252519154738863,0.6655232385854498,0.003806046980796364,0.01708877843418066,0.26881191308460173,0.1290053849835878,0.4708674890847543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9578012263136353,0.5909878975319331,1.572996224034736,0.0,0.0,0.0
wS,0.26690494666907183,0.019066564425378612,0.2767868132353172,0.0,0.0,0.0,0.018326336944165255,0.02097540049949354,0.02229428364936515,0.25714335556012646,0.12451997780486886,0.026554447404848292,0.0,0.0,0.0,0.09484992003613031,0.175518045325485,0.28588584023038094,0.0,0.0,0.0,0.0,0.0,0.0
